time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,city
2023-04-09,12.2,3.6,0.0,0.0,0.0,0.0,6.4,19.8,44164.43,,19.51,2.5,3.0,Lucerne
2023-04-10,15.7,3.5,0.0,0.0,0.0,0.0,5.9,15.8,38366.99,,19.86,2.87,3.0,Lucerne
2023-04-11,10.3,7.6,14.3,14.3,0.0,0.0,5.8,20.9,0.0,,3.73,0.73,63.0,Lucerne
2023-04-12,15.0,6.4,17.2,17.2,0.0,0.0,11.6,30.2,12560.72,,9.89,1.6,63.0,Lucerne
2023-04-13,8.4,3.9,11.8,7.3,0.0,3.15,11.2,33.5,16940.45,,10.53,1.43,75.0,Lucerne
2023-04-14,10.9,2.3,14.2,4.3,0.0,6.93,7.1,17.3,44629.87,,21.06,2.72,75.0,Lucerne
2023-04-15,7.8,2.8,9.2,9.2,0.0,0.0,7.2,16.2,164.05,,4.59,0.79,61.0,Lucerne
2023-04-16,7.4,5.7,23.1,23.1,0.0,0.0,6.8,17.3,0.0,,3.02,0.61,61.0,Lucerne
2023-04-17,12.6,5.9,3.0,3.0,0.0,0.0,10.0,25.6,31640.98,,15.66,2.22,53.0,Lucerne
2023-04-18,14.8,5.0,0.3,0.3,0.0,0.0,8.1,22.7,38245.08,,16.59,2.45,51.0,Lucerne
2023-04-19,12.3,5.2,0.1,0.1,0.0,0.0,10.5,23.8,19955.73,,11.06,1.66,51.0,Lucerne
2023-04-20,6.9,2.8,9.2,9.2,0.0,0.0,8.7,23.8,0.0,,5.6,0.8,61.0,Lucerne
2023-04-21,13.4,2.6,0.3,0.3,0.0,0.0,8.4,20.9,33003.57,,17.69,2.32,51.0,Lucerne
2023-04-22,19.2,7.1,0.2,0.2,0.0,0.0,7.1,20.5,39245.15,,18.66,3.05,51.0,Lucerne
2023-04-23,15.9,10.0,8.8,8.8,0.0,0.0,7.7,21.6,30582.82,,16.64,2.63,61.0,Lucerne
2023-04-24,13.0,6.4,6.1,6.1,0.0,0.0,15.5,44.6,42722.4,,17.64,2.54,63.0,Lucerne
2023-04-25,9.8,5.0,12.6,12.5,0.0,0.07,6.6,22.3,18020.46,,9.31,1.31,71.0,Lucerne
2023-04-26,13.4,4.8,1.6,1.6,0.0,0.0,6.2,18.7,31869.81,,17.85,2.55,61.0,Lucerne
2023-04-27,16.4,7.6,2.4,2.4,0.0,0.0,8.3,20.2,43200.0,,19.9,3.07,55.0,Lucerne
2023-04-28,17.6,8.1,49.5,49.5,0.0,0.0,8.2,30.2,11793.03,,8.08,1.43,65.0,Lucerne
2023-04-29,18.8,11.2,14.4,14.4,0.0,0.0,10.0,22.3,42150.41,,18.93,3.12,63.0,Lucerne
2023-04-30,15.2,10.1,1.3,1.3,0.0,0.0,9.0,23.0,4303.75,,9.41,1.58,51.0,Lucerne
2023-05-01,13.3,10.3,16.9,16.9,0.0,0.0,9.4,22.0,469.47,,8.18,1.44,61.0,Lucerne
2023-05-02,15.4,7.4,5.2,5.2,0.0,0.0,8.0,21.2,34292.2,,17.86,2.75,61.0,Lucerne
2023-05-03,17.2,6.0,0.0,0.0,0.0,0.0,10.3,25.2,43913.98,,20.61,3.15,3.0,Lucerne
2023-05-04,21.5,6.5,0.0,0.0,0.0,0.0,6.4,16.9,47130.85,,25.03,4.08,3.0,Lucerne
2023-05-05,21.8,8.9,6.7,6.7,0.0,0.0,9.5,25.6,35094.44,,20.52,3.56,63.0,Lucerne
2023-05-06,21.2,9.1,7.0,7.0,0.0,0.0,6.9,19.1,43468.11,,20.51,3.46,63.0,Lucerne
2023-05-07,20.0,8.6,18.3,18.3,0.0,0.0,12.2,36.4,31155.47,,15.84,2.65,63.0,Lucerne
2023-05-08,18.2,12.4,8.0,8.0,0.0,0.0,9.8,24.5,19897.92,,13.44,2.25,63.0,Lucerne
2023-05-09,18.9,9.7,11.6,11.6,0.0,0.0,5.2,19.8,26209.42,,15.27,2.6,63.0,Lucerne
2023-05-10,13.9,10.1,28.3,28.3,0.0,0.0,9.7,25.9,10645.27,,11.5,1.82,63.0,Lucerne
2023-05-11,13.3,8.9,11.6,11.6,0.0,0.0,7.3,17.6,16245.81,,9.39,1.52,63.0,Lucerne
2023-05-12,15.7,9.2,1.2,1.2,0.0,0.0,8.1,22.0,34469.3,,17.54,2.73,51.0,Lucerne
2023-05-13,14.9,8.8,0.9,0.9,0.0,0.0,7.0,19.4,28400.64,,15.72,2.42,51.0,Lucerne
2023-05-14,14.5,8.5,7.1,7.1,0.0,0.0,7.4,20.9,18620.41,,12.67,1.96,63.0,Lucerne
2023-05-15,16.9,7.7,4.1,4.1,0.0,0.0,5.1,19.1,42045.39,,21.22,3.27,55.0,Lucerne
2023-05-16,12.6,8.0,18.8,18.8,0.0,0.0,11.9,31.7,7821.29,,8.34,1.31,63.0,Lucerne
2023-05-17,11.7,7.5,6.5,6.5,0.0,0.0,15.1,36.7,0.0,,9.38,1.7,61.0,Lucerne
2023-05-18,12.8,4.9,0.6,0.6,0.0,0.0,8.3,19.8,18866.84,,14.56,2.16,51.0,Lucerne
2023-05-19,14.3,7.9,0.5,0.5,0.0,0.0,10.1,23.4,11875.31,,13.32,2.08,51.0,Lucerne
2023-05-20,16.0,6.8,0.8,0.8,0.0,0.0,5.8,15.5,24148.56,,14.88,2.33,51.0,Lucerne
2023-05-21,22.3,10.4,0.0,0.0,0.0,0.0,7.4,18.0,43157.45,,23.49,3.99,3.0,Lucerne
2023-05-22,24.3,9.3,0.1,0.1,0.0,0.0,14.0,31.3,49660.95,,25.72,4.56,51.0,Lucerne
2023-05-23,21.0,11.9,12.3,12.3,0.0,0.0,9.4,24.5,35504.01,,18.23,3.14,63.0,Lucerne
2023-05-24,14.8,11.6,8.4,8.4,0.0,0.0,12.7,27.4,0.0,,4.85,0.92,61.0,Lucerne
2023-05-25,18.4,9.5,3.8,3.8,0.0,0.0,5.2,17.6,35179.41,,18.44,2.95,55.0,Lucerne
2023-05-26,21.9,10.7,0.1,0.1,0.0,0.0,8.4,18.4,48053.95,,20.06,3.46,51.0,Lucerne
2023-05-27,22.8,9.4,0.0,0.0,0.0,0.0,8.9,22.0,50905.8,,26.03,4.47,2.0,Lucerne
2023-05-28,23.2,10.0,0.0,0.0,0.0,0.0,10.3,24.5,51258.11,,27.62,4.79,1.0,Lucerne
2023-05-29,23.0,12.1,0.1,0.1,0.0,0.0,12.8,30.6,51465.62,,27.01,4.79,51.0,Lucerne
2023-05-30,22.7,12.6,0.0,0.0,0.0,0.0,14.0,34.6,49977.4,,27.0,4.78,3.0,Lucerne
2023-05-31,21.7,9.7,0.0,0.0,0.0,0.0,9.4,25.2,51416.97,,25.73,4.39,3.0,Lucerne
2023-06-01,24.1,9.9,0.0,0.0,0.0,0.0,7.7,19.8,50702.01,,26.92,4.8,3.0,Lucerne
2023-06-02,24.3,11.7,0.0,0.0,0.0,0.0,8.9,21.6,51827.0,,26.81,4.92,3.0,Lucerne
2023-06-03,23.9,11.1,0.1,0.1,0.0,0.0,8.4,17.3,51061.82,,26.8,4.73,51.0,Lucerne
2023-06-04,23.3,10.9,0.2,0.2,0.0,0.0,8.9,23.0,52075.68,,22.8,4.08,51.0,Lucerne
2023-06-05,23.3,13.2,0.0,0.0,0.0,0.0,9.4,24.1,52280.27,,27.4,4.88,0.0,Lucerne
2023-06-06,23.4,10.0,0.2,0.2,0.0,0.0,9.0,22.0,51649.94,,25.67,4.68,51.0,Lucerne
2023-06-07,25.1,13.0,0.0,0.0,0.0,0.0,5.8,17.6,52603.45,,28.22,5.22,2.0,Lucerne
2023-06-08,24.9,11.5,0.0,0.0,0.0,0.0,14.2,37.8,49611.11,,26.52,4.93,3.0,Lucerne
2023-06-09,26.1,11.2,0.0,0.0,0.0,0.0,8.4,21.2,49379.17,,27.31,5.22,3.0,Lucerne
2023-06-10,25.5,15.1,0.1,0.1,0.0,0.0,8.6,22.7,51915.45,,25.93,4.97,51.0,Lucerne
2023-06-11,25.1,14.4,0.1,0.1,0.0,0.0,12.9,30.2,52801.97,,26.51,5.03,51.0,Lucerne
2023-06-12,25.6,12.3,0.0,0.0,0.0,0.0,9.0,23.8,52847.57,,28.79,5.51,1.0,Lucerne
2023-06-13,24.2,14.7,0.0,0.0,0.0,0.0,8.7,22.3,52838.36,,27.13,5.17,3.0,Lucerne
2023-06-14,25.3,13.1,0.0,0.0,0.0,0.0,11.0,28.4,51612.91,,29.56,5.69,2.0,Lucerne
2023-06-15,24.8,13.1,0.2,0.2,0.0,0.0,6.8,18.4,52328.18,,25.37,4.81,51.0,Lucerne
2023-06-16,25.6,12.9,0.2,0.2,0.0,0.0,7.7,20.5,52969.99,,27.25,5.25,51.0,Lucerne
2023-06-17,27.4,12.9,0.0,0.0,0.0,0.0,7.8,20.2,52334.38,,27.18,5.36,2.0,Lucerne
2023-06-18,29.2,13.1,0.0,0.0,0.0,0.0,7.0,17.6,51612.43,,26.9,5.46,3.0,Lucerne
2023-06-19,27.7,17.5,5.6,5.6,0.0,0.0,8.9,23.0,45719.15,,24.47,4.92,61.0,Lucerne
2023-06-20,29.5,16.8,3.1,3.1,0.0,0.0,9.8,26.6,35453.98,,20.99,4.47,61.0,Lucerne
2023-06-21,26.9,17.0,0.6,0.6,0.0,0.0,9.3,22.0,41103.76,,21.95,4.33,51.0,Lucerne
2023-06-22,31.9,17.3,10.2,10.2,0.0,0.0,11.2,39.2,33540.71,,20.39,4.16,63.0,Lucerne
2023-06-23,22.7,16.9,6.8,6.8,0.0,0.0,9.0,24.8,49843.46,,21.8,4.03,63.0,Lucerne
2023-06-24,24.6,15.0,0.0,0.0,0.0,0.0,13.2,33.1,53012.54,,27.45,5.16,3.0,Lucerne
2023-06-25,28.0,12.4,0.0,0.0,0.0,0.0,6.8,19.1,52998.47,,28.9,5.48,0.0,Lucerne
2023-06-26,29.2,16.9,0.4,0.4,0.0,0.0,12.7,33.1,46323.28,,24.12,5.03,51.0,Lucerne
2023-06-27,23.5,16.9,1.2,1.2,0.0,0.0,8.9,21.2,39056.02,,21.03,4.06,53.0,Lucerne
2023-06-28,25.8,14.0,0.0,0.0,0.0,0.0,10.8,25.6,52930.42,,27.94,5.25,3.0,Lucerne
2023-06-29,27.1,16.5,2.1,2.1,0.0,0.0,8.4,20.9,42193.12,,23.89,4.69,61.0,Lucerne
2023-06-30,20.9,17.2,18.2,18.2,0.0,0.0,9.2,24.8,22672.71,,12.67,2.39,63.0,Lucerne
2023-07-01,23.4,16.9,5.3,5.3,0.0,0.0,12.0,32.0,28835.93,,17.06,3.39,55.0,Lucerne
2023-07-02,21.7,17.0,6.9,6.9,0.0,0.0,8.1,23.8,27541.44,,15.88,2.96,61.0,Lucerne
2023-07-03,24.0,16.8,1.3,1.3,0.0,0.0,10.4,24.5,36819.64,,18.13,3.6,53.0,Lucerne
2023-07-04,23.4,15.5,10.8,10.8,0.0,0.0,6.8,19.4,48152.9,,23.16,4.2,63.0,Lucerne
2023-07-05,20.9,15.2,23.4,23.4,0.0,0.0,15.2,38.2,46826.58,,20.2,3.48,65.0,Lucerne
2023-07-06,23.3,14.2,2.1,2.1,0.0,0.0,7.5,16.9,52002.89,,24.79,4.43,55.0,Lucerne
2023-07-07,28.7,13.7,0.0,0.0,0.0,0.0,5.2,14.4,52490.71,,27.67,5.42,3.0,Lucerne
2023-07-08,27.6,17.2,0.4,0.4,0.0,0.0,10.1,24.5,42017.36,,21.27,4.28,51.0,Lucerne
2023-07-09,32.2,17.1,0.0,0.0,0.0,0.0,6.0,15.1,51027.66,,26.42,5.46,3.0,Lucerne
2023-07-10,29.5,19.1,0.0,0.0,0.0,0.0,8.5,24.1,45606.21,,21.95,4.48,3.0,Lucerne
2023-07-11,33.1,20.8,0.3,0.3,0.0,0.0,14.6,31.7,49378.8,,24.67,5.32,51.0,Lucerne
2023-07-12,25.9,18.9,19.0,19.0,0.0,0.0,8.8,27.0,29164.49,,15.97,3.19,63.0,Lucerne
2023-07-13,23.4,17.5,19.0,19.0,0.0,0.0,9.4,20.5,25472.19,,15.37,2.94,63.0,Lucerne
2023-07-14,26.2,16.5,0.0,0.0,0.0,0.0,6.9,16.6,51934.55,,27.13,5.01,3.0,Lucerne
2023-07-15,32.3,18.0,1.5,1.5,0.0,0.0,10.9,46.4,50795.46,,25.83,5.44,53.0,Lucerne
2023-07-16,22.5,17.4,7.7,7.7,0.0,0.0,10.5,25.6,27287.79,,15.61,2.94,63.0,Lucerne
2023-07-17,25.4,18.2,12.6,12.6,0.0,0.0,5.2,17.3,35794.71,,20.84,4.0,63.0,Lucerne
2023-07-18,26.1,17.5,18.3,18.3,0.0,0.0,10.5,47.9,39017.82,,20.15,3.79,63.0,Lucerne
2023-07-19,26.2,17.7,50.6,50.6,0.0,0.0,13.4,44.6,40774.15,,19.69,3.74,65.0,Lucerne
2023-07-20,25.7,18.0,0.7,0.7,0.0,0.0,5.8,15.1,44210.38,,23.15,4.35,51.0,Lucerne
2023-07-21,23.3,16.5,16.3,16.3,0.0,0.0,14.2,35.6,40873.41,,19.7,3.58,63.0,Lucerne
2023-07-22,24.6,16.4,2.1,2.1,0.0,0.0,8.3,19.1,48478.13,,22.74,4.21,55.0,Lucerne
2023-07-23,28.3,14.5,0.0,0.0,0.0,0.0,9.7,23.4,50935.41,,24.07,4.69,3.0,Lucerne
2023-07-24,22.3,16.8,23.3,23.3,0.0,0.0,11.2,28.1,22605.23,,14.08,2.59,63.0,Lucerne
2023-07-25,20.7,14.5,9.9,9.9,0.0,0.0,19.5,46.4,46800.0,,20.1,3.5,61.0,Lucerne
2023-07-26,18.0,11.2,18.4,18.4,0.0,0.0,12.6,30.2,35531.75,,15.02,2.48,63.0,Lucerne
2023-07-27,24.2,11.1,0.0,0.0,0.0,0.0,8.0,19.1,41170.88,,22.72,4.1,3.0,Lucerne
2023-07-28,26.8,16.3,0.8,0.8,0.0,0.0,13.9,31.7,46808.26,,20.42,3.99,51.0,Lucerne
2023-07-29,23.4,16.9,18.4,18.4,0.0,0.0,12.5,36.7,24143.57,,13.92,2.53,63.0,Lucerne
2023-07-30,24.6,15.8,11.4,11.4,0.0,0.0,13.0,32.0,46767.59,,22.18,4.12,63.0,Lucerne
2023-07-31,23.9,15.5,0.0,0.0,0.0,0.0,7.9,21.6,40654.79,,22.67,4.08,3.0,Lucerne
2023-08-01,23.1,15.9,16.7,16.7,0.0,0.0,17.8,46.4,32358.24,,14.83,2.86,63.0,Lucerne
2023-08-02,28.4,15.1,2.8,2.8,0.0,0.0,9.6,38.5,36535.39,,21.19,4.15,61.0,Lucerne
2023-08-03,23.1,15.9,0.0,0.0,0.0,0.0,17.1,39.6,47213.12,,23.73,4.48,3.0,Lucerne
2023-08-04,20.6,14.1,18.9,18.9,0.0,0.0,14.1,33.1,32381.18,,16.74,2.87,63.0,Lucerne
2023-08-05,19.7,14.3,13.5,13.5,0.0,0.0,7.2,18.7,35900.68,,17.09,3.01,61.0,Lucerne
2023-08-06,16.8,11.5,25.2,25.2,0.0,0.0,19.5,51.5,39242.32,,14.94,2.44,63.0,Lucerne
2023-08-07,17.1,10.8,23.4,23.4,0.0,0.0,12.0,31.0,45719.65,,17.98,2.96,65.0,Lucerne
2023-08-08,20.2,11.0,0.0,0.0,0.0,0.0,6.9,15.5,40955.99,,16.8,2.93,3.0,Lucerne
2023-08-09,23.4,14.3,0.0,0.0,0.0,0.0,10.4,27.7,23469.03,,13.73,2.8,3.0,Lucerne
2023-08-10,25.9,12.7,0.0,0.0,0.0,0.0,6.9,19.4,44977.73,,24.53,4.44,3.0,Lucerne
2023-08-11,28.1,16.8,0.0,0.0,0.0,0.0,4.3,13.7,46909.92,,24.29,4.6,2.0,Lucerne
2023-08-12,28.2,17.7,6.5,6.5,0.0,0.0,10.3,26.3,40561.48,,18.8,3.67,63.0,Lucerne
2023-08-13,28.3,19.6,0.0,0.0,0.0,0.0,5.5,17.3,42253.05,,21.24,4.12,3.0,Lucerne
2023-08-14,28.4,18.5,0.0,0.0,0.0,0.0,6.6,18.4,46800.0,,22.19,4.34,3.0,Lucerne
2023-08-15,28.4,19.5,10.0,10.0,0.0,0.0,9.0,21.6,44069.71,,21.23,4.2,65.0,Lucerne
2023-08-16,28.9,17.9,0.0,0.0,0.0,0.0,5.1,14.8,46800.0,,22.96,4.46,3.0,Lucerne
2023-08-17,27.8,18.6,0.0,0.0,0.0,0.0,7.2,16.6,39600.0,,19.36,3.83,3.0,Lucerne
2023-08-18,29.9,16.5,0.0,0.0,0.0,0.0,6.0,15.8,46800.0,,23.27,4.59,3.0,Lucerne
2023-08-19,31.9,17.4,0.0,0.0,0.0,0.0,6.4,14.0,46800.0,,22.91,4.78,3.0,Lucerne
2023-08-20,31.2,18.5,0.0,0.0,0.0,0.0,5.5,13.7,46709.45,,22.83,4.6,1.0,Lucerne
2023-08-21,31.6,22.1,0.0,0.0,0.0,0.0,5.8,13.3,46532.39,,21.78,4.52,1.0,Lucerne
2023-08-22,31.7,19.7,0.0,0.0,0.0,0.0,5.9,13.0,46354.64,,21.47,4.42,3.0,Lucerne
2023-08-23,31.4,20.6,0.1,0.1,0.0,0.0,7.1,16.6,46176.32,,21.51,4.36,51.0,Lucerne
2023-08-24,32.2,19.4,4.8,4.8,0.0,0.0,11.2,28.1,42349.49,,20.87,4.35,63.0,Lucerne
2023-08-25,30.3,19.3,1.6,1.6,0.0,0.0,10.4,26.3,45339.52,,19.94,3.95,53.0,Lucerne
2023-08-26,21.6,16.1,18.7,18.7,0.0,0.0,8.4,23.0,14066.8,,7.84,1.5,63.0,Lucerne
2023-08-27,19.5,15.6,17.7,17.7,0.0,0.0,7.0,17.6,1585.49,,5.64,1.22,63.0,Lucerne
2023-08-28,15.3,13.1,51.5,51.5,0.0,0.0,13.7,33.8,0.0,,2.38,0.68,63.0,Lucerne
2023-08-29,14.4,12.0,12.2,12.2,0.0,0.0,5.2,19.1,0.0,,5.52,1.06,61.0,Lucerne
2023-08-30,18.5,11.4,0.4,0.4,0.0,0.0,5.7,16.6,44446.22,,17.08,2.83,51.0,Lucerne
2023-08-31,18.1,11.9,1.2,1.2,0.0,0.0,6.4,23.8,28874.25,,13.2,2.2,51.0,Lucerne
2023-09-01,24.4,14.4,0.8,0.8,0.0,0.0,5.9,12.6,41843.79,,19.61,3.55,53.0,Lucerne
2023-09-02,25.6,14.0,0.0,0.0,0.0,0.0,5.7,15.5,44335.62,,20.12,3.67,3.0,Lucerne
2023-09-03,25.5,17.1,0.0,0.0,0.0,0.0,6.9,18.0,42326.05,,19.74,3.61,3.0,Lucerne
2023-09-04,25.3,15.2,0.0,0.0,0.0,0.0,6.0,16.9,41496.57,,19.83,3.52,3.0,Lucerne
2023-09-05,25.6,13.5,0.0,0.0,0.0,0.0,5.6,15.1,43759.22,,20.72,3.66,2.0,Lucerne
2023-09-06,26.2,14.3,0.0,0.0,0.0,0.0,5.4,14.8,43228.86,,20.35,3.67,0.0,Lucerne
2023-09-07,27.0,16.4,0.0,0.0,0.0,0.0,3.4,13.3,42313.14,,19.83,3.66,3.0,Lucerne
2023-09-08,28.0,18.3,0.0,0.0,0.0,0.0,4.3,12.6,42100.07,,18.95,3.6,1.0,Lucerne
2023-09-09,28.4,18.9,0.0,0.0,0.0,0.0,5.0,12.6,42267.79,,19.18,3.67,0.0,Lucerne
2023-09-10,28.3,19.1,0.0,0.0,0.0,0.0,4.6,13.7,42072.61,,19.1,3.64,0.0,Lucerne
2023-09-11,28.3,17.3,0.0,0.0,0.0,0.0,6.0,14.0,41616.82,,18.99,3.67,3.0,Lucerne
2023-09-12,26.5,17.6,2.0,2.0,0.0,0.0,12.9,29.9,37663.46,,15.25,2.99,61.0,Lucerne
2023-09-13,21.6,17.4,16.6,16.6,0.0,0.0,6.7,18.0,24264.68,,11.58,2.12,63.0,Lucerne
2023-09-14,21.4,15.4,2.9,2.9,0.0,0.0,7.1,18.7,32910.59,,12.62,2.23,53.0,Lucerne
2023-09-15,23.2,14.6,0.4,0.4,0.0,0.0,5.7,14.8,36739.88,,14.3,2.52,51.0,Lucerne
2023-09-16,24.5,14.4,0.0,0.0,0.0,0.0,7.3,17.3,38341.31,,16.27,2.93,3.0,Lucerne
2023-09-17,26.0,18.1,0.0,0.0,0.0,0.0,9.0,15.5,39878.32,,15.96,2.92,3.0,Lucerne
2023-09-18,21.0,17.1,6.6,6.6,0.0,0.0,9.8,33.1,8370.19,,6.59,1.26,61.0,Lucerne
2023-09-19,21.5,15.6,4.3,4.3,0.0,0.0,6.0,19.4,36178.11,,13.22,2.28,61.0,Lucerne
2023-09-20,21.8,14.4,0.0,0.0,0.0,0.0,7.7,20.2,40177.94,,16.51,2.84,3.0,Lucerne
2023-09-21,22.7,15.2,4.8,4.8,0.0,0.0,11.2,24.8,33152.23,,15.17,2.69,61.0,Lucerne
2023-09-22,16.7,12.6,32.2,32.2,0.0,0.0,9.2,22.7,27873.24,,9.09,1.58,63.0,Lucerne
2023-09-23,15.3,11.5,10.4,10.4,0.0,0.0,5.8,18.7,25019.62,,10.36,1.66,61.0,Lucerne
2023-09-24,18.3,8.6,0.1,0.1,0.0,0.0,11.0,25.6,39106.21,,15.01,2.33,51.0,Lucerne
2023-09-25,18.9,8.3,0.0,0.0,0.0,0.0,5.0,14.0,38982.54,,16.53,2.53,3.0,Lucerne
2023-09-26,21.0,9.6,0.0,0.0,0.0,0.0,4.7,14.0,39032.58,,16.97,2.69,3.0,Lucerne
2023-09-27,21.2,11.4,0.0,0.0,0.0,0.0,6.1,18.0,38735.48,,16.26,2.68,3.0,Lucerne
2023-09-28,24.1,13.3,0.0,0.0,0.0,0.0,6.1,13.3,38612.35,,16.03,2.81,3.0,Lucerne
2023-09-29,25.7,11.9,0.0,0.0,0.0,0.0,7.6,18.4,38036.18,,15.03,2.84,3.0,Lucerne
2023-09-30,20.9,16.0,0.7,0.7,0.0,0.0,5.4,16.2,12071.1,,7.76,1.47,51.0,Lucerne
2023-10-01,21.7,13.7,0.0,0.0,0.0,0.0,4.3,14.8,38245.93,,15.47,2.49,3.0,Lucerne
2023-10-02,24.4,12.4,0.0,0.0,0.0,0.0,5.3,11.9,38125.2,,15.75,2.75,3.0,Lucerne
2023-10-03,25.9,12.4,25.9,25.9,0.0,0.0,12.6,32.4,32400.0,,14.21,2.63,65.0,Lucerne
2023-10-04,18.6,12.1,0.1,0.1,0.0,0.0,5.5,16.9,28021.34,,11.74,1.95,51.0,Lucerne
2023-10-05,18.9,10.5,0.0,0.0,0.0,0.0,5.4,14.4,35811.66,,13.17,2.06,3.0,Lucerne
2023-10-06,19.7,8.4,0.0,0.0,0.0,0.0,5.4,13.0,35911.99,,13.85,2.15,3.0,Lucerne
2023-10-07,20.3,11.1,0.0,0.0,0.0,0.0,4.7,15.1,36898.45,,12.65,2.07,3.0,Lucerne
2023-10-08,24.2,13.3,0.0,0.0,0.0,0.0,6.4,11.5,36916.86,,13.98,2.41,2.0,Lucerne
2023-10-09,25.2,11.4,0.0,0.0,0.0,0.0,8.2,14.8,36154.51,,13.85,2.47,3.0,Lucerne
2023-10-10,23.6,12.7,0.0,0.0,0.0,0.0,6.6,15.1,35856.88,,12.83,2.27,3.0,Lucerne
2023-10-11,23.7,11.4,0.0,0.0,0.0,0.0,7.3,14.4,36033.08,,13.83,2.42,0.0,Lucerne
2023-10-12,25.2,11.0,0.0,0.0,0.0,0.0,7.4,16.6,34691.13,,13.02,2.38,3.0,Lucerne
2023-10-13,23.8,10.5,0.0,0.0,0.0,0.0,8.0,13.7,35635.86,,13.39,2.4,3.0,Lucerne
2023-10-14,20.4,11.7,8.3,8.3,0.0,0.0,17.3,43.6,27871.62,,8.78,1.62,63.0,Lucerne
2023-10-15,11.8,9.2,3.9,3.9,0.0,0.0,9.7,22.3,10800.0,,5.57,0.92,53.0,Lucerne
2023-10-16,11.7,4.9,0.0,0.0,0.0,0.0,5.6,14.4,33881.91,,11.56,1.45,3.0,Lucerne
2023-10-17,13.2,4.9,0.0,0.0,0.0,0.0,4.7,15.5,34945.35,,11.16,1.45,3.0,Lucerne
2023-10-18,15.1,7.7,0.0,0.0,0.0,0.0,8.9,22.7,31345.64,,8.52,1.25,3.0,Lucerne
2023-10-19,17.0,10.7,1.2,1.2,0.0,0.0,6.3,19.1,20546.93,,8.48,1.35,53.0,Lucerne
2023-10-20,16.1,11.5,10.0,10.0,0.0,0.0,6.6,24.1,421.77,,3.1,0.61,61.0,Lucerne
2023-10-21,15.1,10.2,7.6,7.6,0.0,0.0,10.5,24.1,18353.08,,5.86,0.93,61.0,Lucerne
2023-10-22,14.8,8.5,0.0,0.0,0.0,0.0,7.2,15.8,34273.38,,10.39,1.47,3.0,Lucerne
2023-10-23,16.4,7.3,0.0,0.0,0.0,0.0,7.2,18.7,21289.94,,7.63,1.12,3.0,Lucerne
2023-10-24,12.9,9.9,14.5,14.5,0.0,0.0,6.3,13.7,0.0,,2.08,0.44,63.0,Lucerne
2023-10-25,16.6,9.9,10.3,10.3,0.0,0.0,8.7,23.8,23437.49,,8.02,1.21,63.0,Lucerne
2023-10-26,16.0,11.7,16.3,16.3,0.0,0.0,6.8,21.2,388.73,,4.17,0.75,63.0,Lucerne
2023-10-27,16.0,9.1,13.7,13.7,0.0,0.0,16.3,42.1,32721.85,,9.87,1.62,63.0,Lucerne
2023-10-28,14.7,6.2,0.1,0.1,0.0,0.0,7.6,16.2,32164.09,,8.74,1.25,51.0,Lucerne
2023-10-29,19.5,7.2,0.0,0.0,0.0,0.0,8.2,17.3,32601.3,,9.05,1.46,3.0,Lucerne
2023-10-30,15.2,7.7,14.0,14.0,0.0,0.0,7.3,17.3,18641.26,,6.03,0.88,63.0,Lucerne
2023-10-31,13.4,8.4,9.5,9.5,0.0,0.0,7.6,24.1,10900.96,,4.28,0.75,63.0,Lucerne
2023-11-01,12.5,6.0,0.0,0.0,0.0,0.0,7.2,18.4,24460.61,,7.61,1.04,3.0,Lucerne
2023-11-02,10.6,5.8,10.6,10.6,0.0,0.0,8.4,27.4,0.0,,1.91,0.38,61.0,Lucerne
2023-11-03,9.3,6.1,4.2,4.2,0.0,0.0,5.4,23.0,16543.31,,5.42,0.74,53.0,Lucerne
2023-11-04,10.7,5.5,12.6,12.1,0.0,0.35,10.7,27.7,11384.31,,4.51,0.65,73.0,Lucerne
2023-11-05,13.8,4.3,4.6,4.6,0.0,0.0,18.4,48.6,25126.74,,6.31,1.17,61.0,Lucerne
2023-11-06,12.2,3.7,2.4,2.4,0.0,0.0,6.9,19.4,23633.14,,6.72,0.88,61.0,Lucerne
2023-11-07,11.5,4.2,2.3,2.2,0.0,0.07,11.9,29.5,21706.06,,7.38,0.91,71.0,Lucerne
2023-11-08,10.8,2.4,0.0,0.0,0.0,0.0,7.1,13.7,30569.84,,8.99,1.07,2.0,Lucerne
2023-11-09,9.7,1.8,1.4,1.4,0.0,0.0,7.0,13.7,375.13,,2.81,0.55,55.0,Lucerne
2023-11-10,9.7,2.5,8.2,7.8,0.0,0.28,8.4,29.2,18574.02,,4.55,0.63,73.0,Lucerne
2023-11-11,8.7,3.6,19.1,15.6,0.0,2.45,13.5,36.4,26388.82,,5.72,0.74,73.0,Lucerne
2023-11-12,11.3,2.2,6.0,5.2,0.0,0.56,18.3,42.5,0.0,,1.29,0.41,73.0,Lucerne
2023-11-13,14.2,7.8,10.2,10.2,0.0,0.0,7.1,31.7,0.0,,1.45,0.43,63.0,Lucerne
2023-11-14,12.7,8.9,55.7,55.7,0.0,0.0,15.2,45.7,0.0,,0.6,0.31,63.0,Lucerne
