time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,city
2023-04-11,16.7,7.6,0.0,0.0,0.0,0.0,5.5,20.2,35958.74,,17.42,2.74,3.0,Lugano
2023-04-12,12.7,8.9,3.8,3.8,0.0,0.0,6.4,19.4,3273.89,,5.3,0.99,61.0,Lugano
2023-04-13,14.1,8.8,1.8,1.8,0.0,0.0,15.9,50.4,9788.46,,9.43,2.16,53.0,Lugano
2023-04-14,16.2,5.9,0.0,0.0,0.0,0.0,14.0,42.5,44996.21,,24.09,4.11,3.0,Lugano
2023-04-15,16.4,5.7,0.0,0.0,0.0,0.0,9.9,36.7,40286.81,,20.07,3.45,3.0,Lugano
2023-04-16,18.3,6.5,0.0,0.0,0.0,0.0,16.9,48.6,45359.66,,20.19,3.72,3.0,Lugano
2023-04-17,19.3,7.0,0.0,0.0,0.0,0.0,7.9,23.0,41820.96,,22.0,3.79,3.0,Lugano
2023-04-18,20.4,6.1,0.0,0.0,0.0,0.0,7.7,25.6,45719.67,,21.74,3.7,3.0,Lugano
2023-04-19,19.8,7.4,0.2,0.2,0.0,0.0,10.1,27.7,45898.07,,22.93,3.86,51.0,Lugano
2023-04-20,11.9,6.8,40.3,38.8,0.0,1.05,11.7,36.0,0.0,,3.3,0.74,73.0,Lugano
2023-04-21,13.2,6.1,24.1,24.1,0.0,0.0,6.6,31.0,1804.96,,6.88,1.2,63.0,Lugano
2023-04-22,18.3,9.5,0.0,0.0,0.0,0.0,7.6,20.9,24914.65,,13.36,2.37,3.0,Lugano
2023-04-23,18.3,10.4,8.0,8.0,0.0,0.0,6.8,24.1,8601.93,,10.26,1.83,63.0,Lugano
2023-04-24,20.6,9.7,0.2,0.2,0.0,0.0,13.0,37.1,46370.29,,24.97,4.38,51.0,Lugano
2023-04-25,17.5,7.7,1.2,1.2,0.0,0.0,15.5,45.0,46443.97,,24.85,4.06,55.0,Lugano
2023-04-26,18.7,5.1,0.0,0.0,0.0,0.0,9.4,24.8,46517.25,,25.62,4.19,3.0,Lugano
2023-04-27,19.1,6.5,0.0,0.0,0.0,0.0,8.2,26.3,46590.08,,24.08,3.9,3.0,Lugano
2023-04-28,19.0,10.5,0.0,0.0,0.0,0.0,7.1,21.2,33141.35,,15.48,2.7,3.0,Lugano
2023-04-29,19.9,11.4,0.0,0.0,0.0,0.0,7.4,23.8,37767.41,,19.27,3.2,3.0,Lugano
2023-04-30,17.2,11.3,27.4,27.4,0.0,0.0,7.8,24.1,590.0,,7.46,1.36,63.0,Lugano
2023-05-01,13.6,12.1,20.9,20.9,0.0,0.0,6.0,21.6,0.0,,4.8,0.97,63.0,Lugano
2023-05-02,22.1,10.3,2.0,2.0,0.0,0.0,14.4,42.8,46582.82,,25.53,4.54,53.0,Lugano
2023-05-03,20.3,9.7,0.0,0.0,0.0,0.0,8.9,25.2,46889.6,,26.18,4.32,3.0,Lugano
2023-05-04,21.2,13.2,0.5,0.5,0.0,0.0,8.6,24.5,44332.96,,19.78,3.44,51.0,Lugano
2023-05-05,22.1,10.8,0.0,0.0,0.0,0.0,10.0,27.4,45694.81,,21.1,3.75,3.0,Lugano
2023-05-06,23.7,12.8,0.0,0.0,0.0,0.0,8.0,24.8,44894.59,,22.82,4.16,3.0,Lugano
2023-05-07,21.8,13.8,8.3,8.3,0.0,0.0,8.4,24.5,32209.59,,18.43,3.25,63.0,Lugano
2023-05-08,21.4,14.0,7.9,7.9,0.0,0.0,8.1,23.4,44758.43,,21.45,3.64,61.0,Lugano
2023-05-09,18.2,14.6,16.0,16.0,0.0,0.0,6.4,18.7,1249.13,,6.62,1.31,63.0,Lugano
2023-05-10,16.7,11.6,22.2,22.2,0.0,0.0,6.8,22.7,20250.54,,13.31,2.16,63.0,Lugano
2023-05-11,19.0,11.0,0.2,0.2,0.0,0.0,9.3,31.7,28412.63,,18.16,3.1,51.0,Lugano
2023-05-12,15.8,10.5,11.7,11.7,0.0,0.0,6.4,19.1,31369.04,,14.46,2.22,63.0,Lugano
2023-05-13,17.3,11.2,9.9,9.9,0.0,0.0,5.5,23.8,46800.0,,18.52,2.9,63.0,Lugano
2023-05-14,17.3,10.2,2.2,2.2,0.0,0.0,7.4,24.1,45304.72,,20.72,3.22,53.0,Lugano
2023-05-15,21.9,10.1,0.5,0.5,0.0,0.0,10.1,31.3,48729.76,,26.67,4.53,53.0,Lugano
2023-05-16,19.5,10.2,0.1,0.1,0.0,0.0,11.6,38.2,27485.2,,15.77,3.24,51.0,Lugano
2023-05-17,18.6,12.9,0.6,0.6,0.0,0.0,11.5,37.1,19286.99,,15.81,3.29,51.0,Lugano
2023-05-18,17.4,9.9,5.5,5.5,0.0,0.0,7.4,23.4,23639.54,,16.21,2.66,63.0,Lugano
2023-05-19,15.4,12.8,18.7,18.7,0.0,0.0,7.9,26.3,7170.21,,9.3,1.64,61.0,Lugano
2023-05-20,16.0,12.3,4.3,4.3,0.0,0.0,6.2,18.4,0.0,,4.27,0.95,53.0,Lugano
2023-05-21,22.3,12.9,0.0,0.0,0.0,0.0,5.4,18.0,29090.84,,15.18,2.81,3.0,Lugano
2023-05-22,23.5,12.9,0.5,0.5,0.0,0.0,6.5,20.2,48450.46,,24.84,4.48,53.0,Lugano
2023-05-23,25.7,13.1,0.0,0.0,0.0,0.0,7.6,20.2,48903.88,,25.77,4.86,3.0,Lugano
2023-05-24,22.3,13.1,13.9,13.9,0.0,0.0,8.4,27.7,34536.52,,19.02,3.39,63.0,Lugano
2023-05-25,21.3,14.2,7.8,7.8,0.0,0.0,8.6,25.9,45166.23,,22.19,3.76,61.0,Lugano
2023-05-26,25.5,13.0,0.0,0.0,0.0,0.0,6.8,20.9,49799.17,,26.61,4.97,2.0,Lugano
2023-05-27,22.9,14.5,4.4,4.4,0.0,0.0,6.2,16.2,37177.99,,17.74,3.23,61.0,Lugano
2023-05-28,22.0,14.5,5.5,5.5,0.0,0.0,5.4,17.6,50143.98,,23.12,4.09,61.0,Lugano
2023-05-29,22.7,12.5,1.3,1.3,0.0,0.0,6.5,22.0,49856.38,,24.38,4.33,53.0,Lugano
2023-05-30,23.2,14.0,14.7,14.7,0.0,0.0,7.8,22.7,49690.78,,21.66,3.91,65.0,Lugano
2023-05-31,22.7,14.1,17.6,17.6,0.0,0.0,6.3,33.1,46220.17,,25.09,4.41,63.0,Lugano
2023-06-01,23.5,13.2,0.0,0.0,0.0,0.0,6.9,21.6,46133.38,,26.82,4.78,3.0,Lugano
2023-06-02,24.1,13.6,0.0,0.0,0.0,0.0,7.0,20.2,46163.94,,25.85,4.69,3.0,Lugano
2023-06-03,22.8,15.5,17.4,17.4,0.0,0.0,6.0,19.8,47124.85,,23.25,4.17,63.0,Lugano
2023-06-04,20.4,15.7,14.6,14.6,0.0,0.0,5.9,21.2,21430.31,,14.6,2.61,63.0,Lugano
2023-06-05,21.1,15.2,6.2,6.2,0.0,0.0,10.1,27.0,49001.42,,21.7,3.7,63.0,Lugano
2023-06-06,23.1,12.5,3.8,3.8,0.0,0.0,6.1,21.2,48114.03,,24.96,4.45,63.0,Lugano
2023-06-07,23.1,15.1,1.4,1.4,0.0,0.0,8.2,24.5,51513.71,,23.31,4.12,53.0,Lugano
